,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,292.66794,-113.3408,-59.91079,-27.73377
pad_left_Q1,-113.3408,278.07564,-127.57731,-33.23505
pad_right_Q1,-59.91079,-127.57731,192.18746,-2.70106
resonator_pad_Q1,-27.73377,-33.23505,-2.70106,64.46312
