"Pass []","re(Mode(1)) [g]"
1,3.48681527419845
2,5.61066872619469
3,6.12921982527591
4,6.31783745914574
5,6.39660022701875
6,6.43341494462049
7,6.45691643766028
8,6.47405246504639
9,6.48653003908006
10,6.49707900583724
11,6.50339998348013
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
