,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,288.81997,-84.31745,-85.99454,-17.38237
pad_left_Q1,-84.31745,142.96154,-40.88806,-14.2405
pad_right_Q1,-85.99454,-40.88806,131.29962,-0.53296
resonator_pad_0_Q1,-17.38237,-14.2405,-0.53296,32.45885
