,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,302.88138,-92.04739,-93.10791,-16.99872
pad_left_Q1,-92.04739,157.41842,-46.94932,-14.66148
pad_right_Q1,-93.10791,-46.94932,144.72466,-0.5261
resonator_pad_0_Q1,-16.99872,-14.66148,-0.5261,32.47849
