,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,297.18026,-112.01445,-72.24349,-23.42418
pad_left_Q1,-112.01445,193.84979,-61.90906,-16.24801
pad_right_Q1,-72.24349,-61.90906,138.01507,-1.81092
resonator_pad_Q1,-23.42418,-16.24801,-1.81092,42.02937
