,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,275.17926,-76.72546,-78.95077,-17.87321
pad_left_Q1,-76.72546,128.38939,-34.73603,-13.67615
pad_right_Q1,-78.95077,-34.73603,117.83766,-0.54611
resonator_pad_0_Q1,-17.87321,-13.67615,-0.54611,32.41447
