,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,330.39227,-106.98635,-106.89763,-16.54308
pad_left_Q1,-106.98635,184.39929,-58.07702,-15.13665
pad_right_Q1,-106.89763,-58.07702,170.10761,-0.52629
resonator_pad_0_Q1,-16.54308,-15.13665,-0.52629,32.48435
