,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,337.02226,-110.6476,-110.23857,-16.43102
pad_left_Q1,-110.6476,190.72419,-60.57923,-15.19239
pad_right_Q1,-110.23857,-60.57923,176.06816,-0.52675
resonator_pad_0_Q1,-16.43102,-15.19239,-0.52675,32.42565
