,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,317.45388,-99.97515,-100.41509,-16.7239
pad_left_Q1,-99.97515,171.98586,-53.06926,-14.94378
pad_right_Q1,-100.41509,-53.06926,158.40342,-0.5246
resonator_pad_0_Q1,-16.7239,-14.94378,-0.5246,32.47608
