,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,292.78863,-86.50386,-88.01469,-17.27762
pad_left_Q1,-86.50386,147.11614,-42.6314,-14.39586
pad_right_Q1,-88.01469,-42.6314,135.1341,-0.5304
resonator_pad_0_Q1,-17.27762,-14.39586,-0.5304,32.50405
