,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,279.03136,-78.88092,-80.95628,-17.71645
pad_left_Q1,-78.88092,132.55645,-36.48546,-13.86259
pad_right_Q1,-80.95628,-36.48546,121.66898,-0.54139
resonator_pad_0_Q1,-17.71645,-13.86259,-0.54139,32.4338
