,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,305.55955,-120.69752,-61.43192,-27.34036
pad_left_Q1,-120.69752,342.55129,-88.578,-128.70643
pad_right_Q1,-61.43192,-88.578,155.07442,-2.95835
resonator_pad_Q1,-27.34036,-128.70643,-2.95835,159.95627
