,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,273.24426,-75.62624,-77.93589,-17.93628
pad_left_Q1,-75.62624,126.22971,-33.83832,-13.55455
pad_right_Q1,-77.93589,-33.83832,115.88799,-0.54857
resonator_pad_0_Q1,-17.93628,-13.55455,-0.54857,32.36086
