,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,311.00914,-96.50028,-97.19866,-16.83805
pad_left_Q1,-96.50028,165.66972,-50.46321,-14.8042
pad_right_Q1,-97.19866,-50.46321,152.48243,-0.52516
resonator_pad_0_Q1,-16.83805,-14.8042,-0.52516,32.45441
