,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,326.01611,-104.6304,-104.69279,-16.5927
pad_left_Q1,-104.6304,180.24968,-56.39999,-15.0862
pad_right_Q1,-104.69279,-56.39999,166.15422,-0.52506
resonator_pad_0_Q1,-16.5927,-15.0862,-0.52506,32.48338
