,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,304.93605,-93.174,-94.12461,-16.95756
pad_left_Q1,-93.174,159.50157,-47.82586,-14.70846
pad_right_Q1,-94.12461,-47.82586,146.65735,-0.52559
resonator_pad_0_Q1,-16.95756,-14.70846,-0.52559,32.48227
