,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,286.90029,-83.24647,-85.00106,-17.43862
pad_left_Q1,-83.24647,140.92395,-40.01366,-14.18743
pad_right_Q1,-85.00106,-40.01366,129.39274,-0.53418
resonator_pad_0_Q1,-17.43862,-14.18743,-0.53418,32.46528
