,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,339.30107,-111.86535,-111.39278,-16.40672
pad_left_Q1,-111.86535,192.82602,-61.40374,-15.2185
pad_right_Q1,-111.39278,-61.40374,178.08177,-0.52739
resonator_pad_0_Q1,-16.40672,-15.2185,-0.52739,32.42705
