,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,306.29983,-119.13996,-62.98464,-28.98225
pad_left_Q1,-119.13996,226.50104,-64.73466,-38.32732
pad_right_Q1,-62.98464,-64.73466,132.65949,-2.68243
resonator_pad_Q1,-28.98225,-38.32732,-2.68243,70.87095
