,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,282.91574,-81.0344,-82.95226,-17.57525
pad_left_Q1,-81.0344,136.68666,-38.2159,-14.03286
pad_right_Q1,-82.95226,-38.2159,125.47246,-0.53785
resonator_pad_0_Q1,-17.57525,-14.03286,-0.53785,32.45489
