,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,280.97722,-79.97288,-81.96189,-17.64413
pad_left_Q1,-79.97288,134.66244,-37.3685,-13.95599
pad_right_Q1,-81.96189,-37.3685,123.59798,-0.5392
resonator_pad_0_Q1,-17.64413,-13.95599,-0.5392,32.45129
