,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_0_Q1
ground_main_plane,298.77512,-89.81178,-91.05495,-17.1129
pad_left_Q1,-89.81178,153.3333,-45.25616,-14.57338
pad_right_Q1,-91.05495,-45.25616,140.90802,-0.52744
resonator_pad_0_Q1,-17.1129,-14.57338,-0.52744,32.50979
