,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,220.26961,-75.50532,-43.62049,-19.49777
pad_left_Q1,-75.50532,161.37956,-35.63004,-48.24928
pad_right_Q1,-43.62049,-35.63004,82.23861,-1.70716
resonator_pad_Q1,-19.49777,-48.24928,-1.70716,69.87959
