,f_target,size,Lj,Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,4.4,20.0,10,4.09623249736253,6.79688920882019,3964.602351103977,136.44004695864103,6796.661654015367,0.430082580368042,0.000358327878952
1,4.4,100.0,10,4.05892440979333,6.70486988461949,3929.662110876487,133.59495848457146,6704.204384492874,1.2532806884651184,0.0031085515480041
2,4.4,75.38568799186307,10,4.06892581358115,6.7339566150402,3939.036981296219,134.38097555834673,6733.449680716939,0.9560127197799684,0.0017978458538055
3,4.4,79.0279123610549,10,4.06895875763211,6.72919991435172,3939.064161593967,134.36953389466285,6728.67056006853,0.9979769443569184,0.0019595797691345
4,4.4,79.42805192286018,10,4.06802037752991,6.72861075989181,3938.187117932256,134.30190283459663,6728.077839895527,1.0047179861831663,0.0019870587501525
5,4.4,20.0,10,4.56507094397734,6.79787398311201,4401.669467935433,170.00084368751143,6797.570228770331,0.5518350496902465,0.0004896035728454
6,4.4,100.0,10,4.52436305789123,6.70735703062467,4364.241304865262,166.09573649620054,6706.463299566952,1.6171929819126127,0.0043050817794799
7,4.4,53.65366224850789,10,4.54788033169213,6.76178360997453,4385.849783009969,168.3922888455677,6761.267204900114,0.936886908733368,0.0014247991104125
8,4.4,58.6580296993377,10,4.54381198068809,6.75585667310402,4382.094040960857,168.0354304088764,6755.305421811586,1.0000101570014954,0.0016265521583557
9,4.4,58.35973955084101,10,4.53824493367938,6.7539291733347,4376.92110159848,167.62231597844408,6753.3849761920665,0.9877052389469146,0.0015900782146453856
