,f_target,size,Lj,Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,4.0,20.0,13,3.96553650720568,6.37707474387807,3804.103579530803,168.82842364007377,6376.8706238145005,0.3777191608695984,0.0002280611629486
1,4.0,60.0,13,3.94886607744446,6.33842885884335,3788.8907911581778,167.1411323894453,6338.0470708075145,0.7056042587032317,0.0008039690380096
2,4.0,20.0,13,3.96553650720568,6.37707474387807,3804.103579530803,168.82842364007377,6376.8706238145005,0.3777191608695984,0.0002280611629486
3,4.0,100.0,13,3.92958540787548,6.29789847474331,3771.297063298312,165.17330400189113,6297.289954124985,1.123099121974945,0.0020609546661376
4,4.0,86.78804063448149,13,3.93651776176295,6.31106887236177,3777.62661632309,165.8751815923481,6310.53974205937,0.9769791239128112,0.0015530854854583
5,4.0,88.86955502988438,13,3.93523602158513,6.30908571007033,3776.455270791088,165.74850905998323,6308.544602932271,0.9990539294013976,0.0016252518749237
6,4.0,88.95808312037818,13,3.93513104164569,6.30882703690253,3776.357570874824,165.74151102932166,6308.286908566342,0.9972486018428802,0.0016194562149047
7,4.0,94.47904156018907,13,3.93233061615539,6.30298082201545,3773.8008257924216,165.4570920786514,6302.407618838077,1.0581042964744567,0.001826251663208
8,4.0,89.20769583072179,13,3.93477014716198,6.30867649093315,3776.028804436485,165.70512409891222,6308.133632340454,1.0023030646705626,0.0016362308483123
9,4.0,89.09395986428689,13,3.9345345737914,6.30950776874418,3775.811129635365,165.6866378237028,6308.965764667034,1.000795066596985,0.0016314068965911
10,4.0,89.04743786852379,13,3.9371041274785,6.30880588646782,3778.1708165588807,165.9099511074791,6308.262703320861,1.002679091392517,0.0016357472400665
11,4.0,89.00276049445098,13,3.9345740068488,6.30870645890883,3775.846443434784,165.69227898900508,6308.166060181505,0.9977943931026458,0.0016216434478759
12,4.0,89.02293384366581,13,3.934362748276,6.30909869464083,3775.653314881702,165.67220849769782,6308.557396303435,0.9994914530735016,0.0016273057022094
13,4.0,89.0280146230891,13,3.93671242886459,6.30871537760592,3777.811186750981,165.87624548441124,6308.172943573862,1.0013338357276915,0.0016316455631256
14,4.0,20.0,13,4.20613529971321,6.36004811633761,4023.873319812182,191.0876146479349,6359.804566247388,0.4383350765628814,0.0002776148338317
15,4.0,100.0,13,4.16882275685108,6.28025383563406,3990.135274934122,186.8814880006561,6279.450652139739,1.4407962733478543,0.0030674759693145
16,4.0,64.82287595677144,13,4.18472749205502,6.31613259309827,4004.500940688225,188.72011085496044,6315.6120630987725,0.9353835144100188,0.0012800743999481
17,4.0,69.32023398471911,13,4.18284044471313,6.31047294227301,4002.79536477903,188.50424346709443,6309.920316259224,0.9927656004447936,0.0014437345638275
18,4.0,69.87807929705554,13,4.18260941896586,6.31101834759007,4002.5890706596997,188.4739395601692,6310.460307579765,1.0025350565490723,0.0014724428615570067
