,pos1,pos2,C_Q1_Q2(fF),C_Q1_g(fF),C_Q2_g(fF),Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,_2_1_,_3_1_,-0.07867,-83.12258,-91.60481,4.36407862533015,5.09893647279568,4168.014961573138,206.01301433094787,4937.158268637224,0.0027988467769622803,167.81621258744238
1,_3_1_,_4_1_,-0.09574,-91.623,-97.09493,4.08905218399082,5.10132628674596,3917.5427776255374,179.7214455561533,4939.348188366874,0.0020006560401916503,168.02920133619116
2,_4_1_,_5_1_,-0.08707,-97.08437,-86.30278,4.08920840783088,4.79060836695427,3917.6564039951304,179.7676480791664,4610.459223581839,0.004026488162994384,187.99170501303672
3,_5_1_,_6_1_,-0.06026,-86.31561,-75.6853,4.78565235484037,5.48474611360038,4605.845885955302,187.63034605885696,5296.496812907551,0.0032030984649658203,195.80510559667778
4,_6_1_,_7_1_,-0.06724,-75.51889,-90.81636,4.6875272911138,5.48402578257601,4515.310743601004,179.56032058507728,5295.880342519345,0.0026520873489379883,195.69355993554115
5,_7_1_,_8_1_,-0.1064,-90.785,-104.87936,3.95335701460452,4.68865904573065,3793.4636359075694,167.3090485429754,4516.390365757473,0.004350605878829955,179.6126883963165
6,_8_1_,_9_1_,-0.11527,-104.99023,-96.82377,3.95688546186995,4.99522461384116,3796.6549803450353,167.67130374656296,4840.057209084989,0.002319319305419922,160.8482239679184
7,_0_1_,_1_1_,-0.09491,-102.3416,-81.96711,4.46433507283723,5.32442882886599,4308.673916174011,161.99168719348526,5147.36083410061,0.0029482192974090576,183.97290151006317
8,_1_1_,_2_1_,-0.06596,-81.91405,-83.27849,4.36577606771406,5.32297847237559,4169.397565328356,206.3585409154644,5146.055075605004,0.0015578781700134278,183.81920504915047
