,Lj (nH),size (um),Cj (fF),C_CPW_Qb,Freq_conv(GHz),Freq_EPR1(MHz),Chi1_1(MHz)
0,13,250.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
1,13,230.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
2,13,210.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
3,13,190.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
4,13,170.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
5,10,250.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
6,10,230.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
7,10,210.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
8,10,190.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
9,10,170.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
10,13,250.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
11,13,230.0,3.3923231627469788,95.8387,4.42226486874556,4220.82021523572,211.78551793391608
12,13,210.0,3.3923231627469788,85.87818,4.672091366659,4446.495549061077,237.74361087519645
13,13,190.0,3.3923231627469788,76.20174,4.95993120230676,4704.637476593868,269.76087349983214
14,13,170.0,3.3923231627469788,66.56511,5.31045079367621,5016.397149783329,311.67833332196426
15,10,250.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
16,10,230.0,4.410020111571073,95.8387,4.42226486874556,4268.84464255243,159.64741645941353
17,10,210.0,4.410020111571073,85.87818,4.672091366659,4500.416309213711,179.01080722405243
18,10,190.0,4.410020111571073,76.20174,4.95993120230676,4765.846958128611,202.85150391730306
19,13,250.0,3.3923231627469788,105.91232,4.14644095369411,3969.8876059508693,185.11859447183036
20,13,230.0,3.3923231627469788,95.8387,4.35245751762325,4166.271896852865,195.03385298913858
21,13,210.0,3.3923231627469788,85.87818,4.58993118201926,4378.482733059236,222.2410772763729
22,13,190.0,3.3923231627469788,76.20174,4.85854417985386,4630.730719654038,239.33435335203743
23,13,170.0,3.3923231627469788,66.56511,5.19007268760275,4909.32495939105,297.2912235489902
24,10,250.0,4.410020111571073,105.91232,4.70126165161549,4534.7820530147865,173.21379080989456
25,10,230.0,4.410020111571073,95.8387,4.93566046999811,4754.645387555484,188.50623674035452
26,10,210.0,4.410020111571073,85.87818,5.20087792518113,4999.457421670863,210.16116058961487
27,10,190.0,4.410020111571073,76.20174,5.50880295439006,5269.071690571249,251.57164927975654
28,10,170.0,4.410020111571073,66.56511,5.86735267807756,5594.27327377536,287.3482174782467
