,pad_size(mm),coupling_len(um),offset,target_freq(GHz),Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,0.25,5.0,0.4,4.0,4.24138499473843,6.3649959869344,4056.669909879964,193.6798483995056,6364.745153852695,0.44967926782417295,0.0002891248626708984
1,0.23,16.666666666666664,0.4,4.2,4.4534023925046,6.56857442838119,4249.187196716463,214.50905100977516,6568.179417150401,0.6985215214385986,0.0006367721920013427
2,0.23,28.333333333333332,0.4,4.2,4.44239156613746,6.55151449162107,4239.252997813045,213.27612453089236,6550.997421814774,0.9141112393131255,0.0010965293235778808
3,0.23,40.0,0.4,4.2,4.43202828820945,6.53548553934544,4229.911385450612,212.09071612084387,6534.828319610831,1.1614594242782592,0.0017796941261291504
4,0.23,5.0,0.4,4.2,4.45896724102407,6.58526285593939,4254.185062263428,215.18465916536903,6584.973928862441,0.5114017575626373,0.00034012776947021483
5,0.23,16.666666666666664,0.4,4.2,4.4534023925046,6.56857442838119,4249.187196716463,214.50905100977516,6568.179417150401,0.6985215214385986,0.0006367721920013427
