,f_target,size,Lj,Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,5.6,20.0,6,5.18280963534167,8.0583179182623,5057.71492290314,128.5613504792385,8058.11869542704,0.3762979257946014,0.0002908109035491
1,5.6,100.0,6,5.15207203586272,7.94700327829281,5028.452144800586,126.71189229900742,7946.42195904313,1.0933175681648253,0.0024935208301544
2,5.6,89.58828320447691,6,5.15386242088788,7.9620730825603,5030.158993203515,126.8495552238903,7961.554247933684,0.976572146112442,0.0019867539348602
3,5.6,91.67765146848215,6,5.1507776390499,7.95748795913754,5027.222596900582,126.68652453441238,7956.958981057033,0.9956232893943786,0.002067605272293
4,5.6,92.14103972582458,6,5.15542604365523,7.95895331183138,5031.647550345816,126.91449446779822,7958.417944241647,1.0073968411293028,0.0021133757057189
5,5.6,20.0,6,5.76471772994197,8.05853385776322,5610.376261469486,159.06772984251404,8058.262786249321,0.4920383107032776,0.0004150552368164
6,5.6,100.0,6,5.72703058097234,7.94945113599041,5575.119470944433,156.1359598054447,7948.66368752651,1.4220004920368194,0.0035365135059356
7,5.6,63.69740615200661,6,5.73286845382148,7.99686780004164,5580.418181592022,156.9077232660904,7996.358284784605,0.9232939469852448,0.0014816913337707
8,5.6,69.28110806229401,6,5.73290180058656,7.99008832484547,5580.485737802975,156.84219581137083,7989.53925540737,0.9944084634571076,0.0017198580436706
9,5.6,69.71439788499663,6,5.73168392035766,7.98989934408447,5579.333591202143,156.7721553716526,7989.348747342499,0.9972625060195922,0.0017303834514617
10,5.6,70.12711160690098,6,5.73199922565851,7.98806500773707,5579.634326489667,156.78359324772643,7987.50912049098,1.0066911591663361,0.001763291103363037
