,Target Frequencies,Buffer,Offset,Sizes
0,4.0,190,0.35,250
1,4.2,200,0.4,235
2,4.4,203,0.42,220
3,4.6000000000000005,206,0.41,200
4,4.800000000000001,207,0.41,182
5,5.000000000000001,205,0.42,172
6,5.200000000000001,206,0.45,165
7,5.400000000000001,208,0.45,150
8,5.600000000000001,210,0.457,138
9,5.800000000000002,210,0.476,131
