,Lj (nH),size (um),Cj (fF),C_CPW_Qb,Freq_conv(GHz),Freq_EPR1(MHz),Chi1_1(MHz)
0,13,250.0,3.3923231627469788,105.91232,4.14644095369411,3969.8876059508693,185.11859447183036
1,13,241.11111111111111,3.3923231627469788,101.38074,4.2355768196489,4051.119779156936,193.57875250398732
2,13,232.22222222222223,3.3923231627469788,96.8723,4.32832982032635,4143.954876406468,193.11381413031006
3,13,223.33333333333334,3.3923231627469788,92.52018,4.4249320581673,4229.30415539455,205.2657006947012
4,13,214.44444444444446,3.3923231627469788,88.10179,4.53042255834259,4327.3779040462705,213.10069486459062
5,13,205.55555555555554,3.3923231627469788,83.69042,4.64706088156544,4430.640511486271,227.552117056921
6,13,196.66666666666666,3.3923231627469788,79.38061,4.77091613387989,4535.085313979124,248.779979991642
7,13,187.77777777777777,3.3923231627469788,75.1182,4.89358090616876,4645.03762233647,262.4886962692203
8,13,178.88888888888889,3.3923231627469788,70.84295,5.03234098215165,4768.993506243658,278.4742587964897
9,13,170.0,3.3923231627469788,66.56511,5.19007268760275,4909.32495939105,297.2912235489902
10,10,250.0,4.410020111571073,105.91232,4.70126165161549,4534.7820530147865,173.21379080989456
11,10,241.11111111111111,4.410020111571073,101.38074,4.80165924389772,4635.780881882979,172.28270632025908
12,10,232.22222222222223,4.410020111571073,96.8723,4.90813488780574,4719.165685567715,197.3630643744087
13,10,223.33333333333334,4.410020111571073,92.52018,5.01832553355313,4820.516942915242,206.7786360514469
14,10,214.44444444444446,4.410020111571073,88.10179,5.13484087856151,4927.445878391927,217.0022851417198
15,10,250.0,4.410020111571073,105.91232,4.70126165161549,4534.7820530147865,173.21379080989456
16,10,230.0,4.410020111571073,95.8387,4.93566046999811,4754.645387555484,188.50623674035452
17,10,210.0,4.410020111571073,85.87818,5.20087792518113,4999.457421670863,210.16116058961487
18,10,190.0,4.410020111571073,76.20174,5.50880295439006,5269.071690571249,251.57164927975654
19,10,170.0,4.410020111571073,66.56511,5.86735267807756,5594.27327377536,287.3482174782467
20,8,250.0,5.512525139463842,105.91232,5.22720608127502,5057.532121716957,176.13217150409125
21,8,230.0,5.512525139463842,95.8387,5.48343939727295,5306.873985946852,183.04608712420463
22,8,210.0,5.512525139463842,85.87818,5.77017316304661,5562.2096061947905,216.66911429855918
23,8,190.0,5.512525139463842,76.20174,6.1079870023253,5874.167518016365,244.14773545568275
24,8,170.0,5.512525139463842,66.56511,6.50339998348013,6237.288423891877,278.5731210947399
