,pad_size(mm),coupling_len(um),offset,C_CPW_Qb,C_CPW_Qbp,C_Qb_g
0,0.15,20.0,0.2,-5.84643,-51.65548,-57.42824
1,0.15,20.0,0.2833333333333333,-5.77839,-51.72104,-57.42792
2,0.15,20.0,0.3666666666666667,-5.69687,-51.80793,-57.42654
3,0.15,20.0,0.45,-5.62284,-51.87629,-57.41767
4,0.17666666666666667,20.0,0.2,-6.64686,-63.31815,-69.78541
5,0.17666666666666667,20.0,0.2833333333333333,-6.56224,-63.4017,-69.78349
6,0.17666666666666667,20.0,0.3666666666666667,-6.46027,-63.50264,-69.7842
7,0.17666666666666667,20.0,0.45,-6.36547,-63.59773,-69.78177
8,0.20333333333333334,20.0,0.2,-7.46401,-75.25932,-82.44355
9,0.20333333333333334,20.0,0.2833333333333333,-7.35414,-75.27059,-82.44522
10,0.20333333333333334,20.0,0.3666666666666667,-7.23507,-75.38927,-82.44051
11,0.20333333333333334,20.0,0.45,-7.12135,-75.50717,-82.43783
12,0.23,20.0,0.2,-8.30752,-87.42968,-95.4705
13,0.23,20.0,0.2833333333333333,-8.19494,-87.54112,-95.46941
14,0.23,20.0,0.3666666666666667,-8.04942,-87.53697,-95.46908
15,0.23,20.0,0.45,-7.92479,-87.80852,-95.46667
16,0.15,25.0,0.2,-6.19011,-51.47687,-57.60532
17,0.15,25.0,0.2833333333333333,-6.12278,-51.54327,-57.60535
18,0.15,25.0,0.3666666666666667,-6.04129,-51.62841,-57.60505
19,0.15,25.0,0.45,-5.96809,-51.69773,-57.59165
20,0.17666666666666667,25.0,0.2,-6.99552,-63.1322,-69.93523
21,0.17666666666666667,25.0,0.2833333333333333,-6.91213,-63.21488,-69.93307
22,0.17666666666666667,25.0,0.3666666666666667,-6.81009,-63.31584,-69.93386
23,0.17666666666666667,25.0,0.45,-6.71576,-63.41022,-69.93155
24,0.20333333333333334,25.0,0.2,-7.8178,-75.07881,-82.61346
25,0.20333333333333334,25.0,0.2833333333333333,-7.7033,-75.09117,-82.61277
26,0.20333333333333334,25.0,0.3666666666666667,-7.58441,-75.20884,-82.61154
27,0.20333333333333334,25.0,0.45,-7.47213,-75.32661,-82.60851
28,0.23,25.0,0.2,-8.66459,-87.24874,-95.64238
29,0.23,25.0,0.2833333333333333,-8.55269,-87.35972,-95.64146
30,0.23,25.0,0.3666666666666667,-8.40134,-87.35754,-95.64093
31,0.23,25.0,0.45,-8.28309,-87.62636,-95.63849
32,0.15,30.0,0.2,-6.53056,-51.30143,-57.76623
33,0.15,30.0,0.2833333333333333,-6.46354,-51.36654,-57.76638
34,0.15,30.0,0.3666666666666667,-6.38239,-51.45221,-57.76677
35,0.15,30.0,0.45,-6.30932,-51.52115,-57.75408
36,0.17666666666666667,30.0,0.2,-7.34259,-62.95395,-70.11169
37,0.17666666666666667,30.0,0.2833333333333333,-7.26067,-63.0368,-70.11038
38,0.17666666666666667,30.0,0.3666666666666667,-7.15782,-63.1364,-70.11164
39,0.17666666666666667,30.0,0.45,-7.0636,-63.23132,-70.10941
40,0.20333333333333334,30.0,0.2,-8.16777,-74.90183,-82.7952
41,0.20333333333333334,30.0,0.2833333333333333,-8.05772,-74.91335,-82.79411
42,0.20333333333333334,30.0,0.3666666666666667,-7.93892,-75.02895,-82.79373
43,0.20333333333333334,30.0,0.45,-7.82658,-75.14669,-82.79147
44,0.23,30.0,0.2,-9.01785,-87.07064,-95.81237
45,0.23,30.0,0.2833333333333333,-8.90588,-87.18065,-95.81195
46,0.23,30.0,0.3666666666666667,-8.76035,-87.17626,-95.81231
47,0.23,30.0,0.45,-8.63766,-87.44679,-95.80983
48,0.15,35.0,0.2,-6.87973,-51.12416,-57.93948
49,0.15,35.0,0.2833333333333333,-6.81283,-51.18915,-57.9396
50,0.15,35.0,0.3666666666666667,-6.73254,-51.27401,-57.94027
51,0.15,35.0,0.45,-6.65968,-51.34281,-57.927
52,0.17666666666666667,35.0,0.2,-7.69715,-62.77601,-70.29
53,0.17666666666666667,35.0,0.2833333333333333,-7.61515,-62.85803,-70.28853
54,0.17666666666666667,35.0,0.3666666666666667,-7.51251,-62.95737,-70.28805
55,0.17666666666666667,35.0,0.45,-7.41884,-63.05215,-70.2853
56,0.20333333333333334,35.0,0.2,-8.52267,-74.72305,-82.96986
57,0.20333333333333334,35.0,0.2833333333333333,-8.41823,-74.73334,-82.97127
58,0.20333333333333334,35.0,0.3666666666666667,-8.30044,-74.84934,-82.96862
59,0.20333333333333334,35.0,0.45,-8.18702,-74.96755,-82.96674
60,0.23,35.0,0.2,-9.37865,-86.89105,-95.99969
61,0.23,35.0,0.2833333333333333,-9.26742,-87.00147,-95.99882
62,0.23,35.0,0.3666666666666667,-9.12432,-86.99566,-95.99949
63,0.23,35.0,0.45,-8.99976,-87.2658,-95.99588
