,f_target,size,Lj,Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,5.0,20.0,8,4.73142972801262,7.51915836901262,4591.519041432903,144.66589645189094,7518.960679952106,0.3714399375133514,0.0002532769927978
1,5.0,100.0,8,4.68814330730468,7.410782480511,4550.824213546393,141.5482022512417,7410.088441405937,1.2988091697864532,0.0031664766769409
2,5.0,74.22306806068747,8,4.70785785811843,7.44647113827209,4569.368563483767,142.92462624217606,7445.962076563476,0.95372151537323,0.0016912023468017
3,5.0,77.67992122023377,8,4.70089907131593,7.44257532918739,4562.820649865481,142.47760684053992,7442.0475441937,0.988990511894226,0.0018237729320526
4,5.0,78.72065897066497,8,4.69926452158827,7.44048638411769,4561.282613843347,142.37077559845542,7439.951841393212,1.0016441065559387,0.0018720774917602
5,5.0,78.32205567581164,8,4.70005477639027,7.44059530047181,4562.026839480906,142.4200455136547,7440.06184197959,0.9995729124088288,0.0018637767353057
6,5.0,20.0,8,5.17829519309814,7.52057783896264,5010.851694884847,173.63042594930457,7520.3232605860785,0.4619532497138977,0.0003359638805389
7,5.0,100.0,8,5.12530305373075,7.40981186040667,4961.740267210771,169.06199926337624,7408.914693405321,1.621279513864517,0.0042508991756439
8,5.0,57.12823676467313,8,5.15273327755299,7.46903528542688,4987.131061006098,171.50268424612045,7468.531224291834,0.9132256211967468,0.0013293249282836
9,5.0,63.39261268638303,8,5.15129630721998,7.46243929077184,4985.825446388041,171.32499148864744,7461.882089802981,1.0090174577445985,0.0016247256393432
10,5.0,62.80290956338173,8,5.14903848020278,7.46352245016375,4983.708354863669,171.18072102253913,7462.971308008063,0.9983455389080047,0.0015915418109893797
