Pass [],re(Mode(1)) [g]
1,2.31552213761523
2,3.19437450124253
3,3.52564123258037
4,3.63458933578617
5,3.6952896024663
6,3.73088674712464
7,3.7515859538794
8,3.76799154059451
9,3.78069440327648
10,3.79076081757198
11,3.79802031163145
12,3.80305245506438
13,3.80818007474949
14,3.81167527004256
