,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,coupling_gd,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz],Purcell T1 qiskit [us],target kappa qiskit [MHz]
0,3.135006897957901,140.8810493058888,9.557776095058605,-158.00162835438624,0.30815489292144777,114.1237884917984,-0.7459857157898153,0.935,1.2,0.02,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,126.31055435171514,140.88105820369825,9.561631637480948,3.282746147044911,0.019815450973351238,64394.566449115155,0.039630901946702476,1710.4984015299437,0.039630901946702476
1,3.123432240478145,139.7888049466867,9.557776095058605,-156.6923113964665,0.2821129112243652,120.53605431522371,-0.8186396236327226,0.985,1.2,0.02,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.45,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,133.57018639715193,139.7888137755118,9.561631637480948,3.2699958952412973,0.02210474667933834,51747.10528844561,0.04420949335867668,1397.2651955377664,0.04420949335867668
2,3.113121907252342,138.81984018986338,9.557776095058605,-155.53176916588762,0.26062859869003296,126.38904916546151,-0.8870390801059009,1.035,1.2,0.02,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.5,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,140.22071053096636,138.8198489574904,9.561631637480948,3.258642980999627,0.02430359355480558,42807.13456485672,0.04860718710961116,1172.8538494447625,0.04860718710961116
3,3.104560071273411,138.01803968601462,9.557776095058605,-154.5721491216383,0.2439378628730774,131.58100307109632,-0.9498484231809315,1.085,1.2,0.02,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.55,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,146.1436566101446,138.01804840300122,9.561631637480948,3.249218660728777,0.02634134739413021,36440.235350450545,0.05268269478826042,1010.5663967683804,0.05268269478826042
4,3.0966689331636585,137.28132887040397,9.557776095058605,-153.69099531460955,0.22942743253707887,136.1978348566701,-1.006393460276693,1.135,1.2,0.02,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.6,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,151.43367022733617,137.2813375408612,9.561631637480948,3.240535240069331,0.0282222742362171,31744.83907785481,0.0564445484724342,890.2199680366383,0.0564445484724342
5,3.0898382575935277,136.64538642213893,9.557776095058605,-152.93080217182205,0.2175099024772644,140.4796414240168,-1.060393268251776,1.185,1.2,0.02,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.65,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,156.35855479952468,136.645395052431,9.561631637480948,3.23302079479784,0.03002467951173134,28047.902193627182,0.06004935902346268,794.166937449937,0.06004935902346268
