,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz],Purcell T1 qiskit [us],target kappa qiskit [MHz]
0,3.6456670998941387,193.86498698897816,9.557776095058605,-222.9391868909668,8.609758068561554,101.56102929260845,-1.2503175134867905,0.8300000000000001,1.2,0.015,0.09,0.6,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.3,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,17.095566845100272,112.00289184727392,193.86499923316376,9.561631637480948,3.85088634999065,0.01569299324048081,102670.47462757664,0.03138598648096162,1288.638323424188,0.03138598648096162
1,3.9221349486358874,226.5951827843072,9.557776095058605,-264.4603746313782,36.184197950363156,117.73663289568788,-2.607161661179368,0.85,1.2,0.035,0.09,0.6,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.3,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,17.095566845100272,129.8485281702994,226.5951970956768,9.561631637480948,4.163286975889368,0.021089914699743875,56846.99321446278,0.04217982939948775,459.8480622362361,0.04217982939948775
2,4.0802690717503,246.64674606759212,9.557776095058605,-290.4433081325201,75.25131976127625,128.9950150916002,-4.089593113898093,0.87,1.2,0.055,0.09,0.6,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.3,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,17.095566845100272,142.27502690701442,246.6467616453846,9.561631637480948,4.343588819794739,0.025316138074380365,39451.383126608416,0.05063227614876073,244.2190786815244,0.05063227614876073
