,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,coupling_gd,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz],Purcell T1 qiskit [us],target kappa qiskit [MHz]
0,3.0360376764644266,131.69358174299802,9.557776095058605,-147.02532087970258,0.1416844253540039,133.40008988285757,-0.8864584889622293,0.92,1.2,0.015,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,148.04480752868017,131.69359006054253,9.561631637480948,3.173900561991607,-0.8864584889622293,34492.87984779701,0.05414942388770428,34492.87984779701,-1.7729169779244587
1,3.0230668701766423,130.51486111525563,9.557776095058605,-145.62319940273088,0.12747847080230712,140.02697764747748,-0.959092486995425,0.97,1.2,0.015,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.45,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,155.61010859411212,130.51486935835416,9.561631637480948,3.1596646708390206,-0.959092486995425,28412.345302573845,0.05966299164422456,28412.345302573845,-1.91818497399085
2,3.0138196218404496,129.67809289873142,9.557776095058605,-144.62868394453923,0.11816253185272217,145.55331896443616,-1.0229334353647328,1.02,1.2,0.015,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.5,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,161.95380984949543,129.6781010889811,9.561631637480948,3.149519625671006,-1.0229334353647328,24336.913193165503,0.0644652723328708,24336.913193165503,-2.0458668707294656
3,3.0041121693981987,128.80287887239055,9.557776095058605,-143.58922518500458,0.10905895233154297,151.0963215322659,-1.0874285302000075,1.07,1.2,0.015,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.55,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,168.33350847773124,128.80288700736315,9.561631637480948,3.1388733767496735,-1.0874285302000075,20957.447092510847,0.06946873313879899,20957.447092510847,-2.174857060400015
4,2.9973791931515357,128.19776214483161,9.557776095058605,-142.8709996201328,0.10312811231613159,155.3416859488677,-1.138602437199537,1.12,1.2,0.015,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.6,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,173.25692240058396,128.19777024158606,9.561631637480948,3.1314914731437007,-1.138602437199537,18758.663250179037,0.07342731108904535,18758.663250179037,-2.277204874399074
5,2.991685712311675,127.68729572302051,9.557776095058605,-142.26540191018242,0.09834591436386109,159.40996280303185,-1.1894991722932624,1.17,1.2,0.015,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.65,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,177.99323000707324,127.68730378753479,9.561631637480948,3.1252506633542643,-1.1894991722932624,16915.78289724528,0.07732368035982626,16915.78289724528,-2.378998344586525
