,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz]
0,3.8223563468287933,167.11527345962932,11.947220118823298,-186.75741407817227,0.21116766595840455,183.72378021001586,-2.581884355222109,0.855,1.2,0.05,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,13.676453476080171,186.94939303048753,167.11528401434816,11.952039546851227,3.9973676172428907,0.08291101753180742,4490.212283445636,0.16582203506361484
1,3.8618967221962017,170.76944055133265,11.947220118823298,-191.11893639965263,0.2712054615020752,130.5792487612062,-1.3770447308918092,0.875,1.2,0.05,0.09,0.9,0.06,0.05,0.025,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,13.676453476080171,132.29035261807843,170.7694513368425,11.952039546851227,4.040834800653972,0.041882233257076525,17596.71910026261,0.08376446651415305
2,3.8704420515106044,171.56492356966936,11.947220118823298,-192.06981772351412,0.28608055114746095,107.158447506295,-0.9383698116197852,0.895,1.2,0.05,0.09,0.9,0.06,0.05,0.045,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,13.676453476080171,108.37102181350978,171.56493440542062,11.952039546851227,4.050235431049927,0.028205533957603116,38799.194756464036,0.05641106791520623
3,3.8694904112736856,171.47623417270546,11.947220118823298,-191.96377777136328,0.28438773632049563,91.49835494664268,-0.6832458794463143,0.915,1.2,0.05,0.09,0.9,0.06,0.05,0.065,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,13.676453476080171,92.42939589568257,171.47624500285525,11.952039546851227,4.049188423987874,0.020564022559182216,72991.9927611565,0.04112804511836443
4,3.870983160856231,171.61536432254977,11.947220118823298,-192.13012914113978,0.2870472345352173,79.79555494363883,-0.5207187063174303,0.935,1.2,0.05,0.09,0.9,0.06,0.05,0.085,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,13.676453476080171,80.53810044441671,171.61537516148675,11.952039546851227,4.050830779756468,0.015640077421266243,126186.69526194186,0.031280154842532486
