,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz]
0,2.806313448527879,111.67689411761216,9.557776095058605,-123.40450309234784,0.018838316917419433,40.813563741592716,-0.06022647920955115,0.9550000000000001,1.2,0.005,0.09,0.9,0.06,0.05,0.1,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,17.095566845100272,44.87938819615245,111.67690117093647,9.561631637480948,2.922756769095724,0.0025343152462327396,3936732.2001796444,0.005068630492465479
1,3.0760882401975973,135.37020620889757,9.557776095058605,-151.4076921782957,0.19522269821166993,48.11697485604277,-0.12201570453482803,0.965,1.2,0.015,0.09,0.9,0.06,0.05,0.1,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,17.095566845100272,52.9105063481698,135.37021475865149,9.561631637480948,3.2179000956635218,0.0035224775238594077,2037795.8982787733,0.007044955047718815
2,3.2245645197329993,149.49228082818794,9.557776095058605,-168.36581074987865,0.597082661151886,52.81332288161605,-0.18148611015879415,0.975,1.2,0.025,0.09,0.9,0.06,0.05,0.1,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,17.095566845100272,58.0751178049109,149.49229026986828,9.561631637480948,3.3815856779964726,0.004243640509071228,1404041.588846194,0.008487281018142456
3,3.329962087187222,159.99280373622764,9.557776095058605,-181.1035201547294,1.2417673916816712,56.6492675605394,-0.24304442933864925,0.985,1.2,0.035,0.09,0.9,0.06,0.05,0.1,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,17.095566845100272,62.294634352950695,159.99281384110327,9.561631637480948,3.4983337183209873,0.004882476914169592,1060661.3608076947,0.009764953828339184
4,3.4133982407739762,168.58933405654213,9.557776095058605,-191.61303055137606,2.1461275701522826,59.952545396010485,-0.30747669299048,0.995,1.2,0.045,0.09,0.9,0.06,0.05,0.1,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,17.095566845100272,65.9285294875085,168.58934470436014,9.561631637480948,3.591088093675666,0.005468482838535227,845519.1299534667,0.010936965677070453
