Pass [],re(Mode(1)) [g]
1,2.6961155598678
2,3.33677262308788
3,3.56605774014843
4,3.66066122285783
5,3.7192120500349
6,3.75238619169432
7,3.78111859375353
8,3.80396689108661
9,3.8191140574007
10,3.83002557983319
11,3.83861342584871
12,3.84564742727093
13,3.85024185621286
14,3.85401421672707
