Pass [],re(Mode(1)) [g]
1,2.04954801653409
2,2.60025904344979
3,2.80503946070865
4,2.91620474404674
5,3.0385259639939
6,3.1030796400508
7,3.13918519790679
8,3.16656076524592
9,3.18407429371149
10,3.19675518085301
11,3.20896501765139
12,3.21764198348499
13,3.22518140697576
14,3.23070989379305
15,3.23528834261454
16,3.23842051999318
