,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,coupling_gd,layer,pos_x,pos_y,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz],Purcell T1 qiskit [us],target kappa qiskit [MHz]
0,3.0665829915996894,91.70046025344303,13.616300010297985,-98.62454016875752,7.842540740966796e-06,98.30873533250595,-0.3356732088501446,0.92,1.25,0.005,0.09,1.1,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.015,main,10.0,False,180.0,0.01,False,0.65,5.0,-1.0,-2.0,17.095566845100272,99.66272740777971,91.70046604508944,9.561631637480948,2.648480435734385,0.014704010997552402,116946.03647667394,0.029408021995104804,5122.767504632318,0.029408021995104804
1,3.369184344713519,111.41864463737816,13.616300010297985,-120.8510794477766,0.00018256807327270507,114.96349978142281,-0.7069812790063985,0.93,1.25,0.015,0.09,1.1,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.015,main,10.0,False,180.0,0.01,False,0.65,5.0,-1.0,-2.0,17.095566845100272,116.5460195927835,111.41865167439184,9.561631637480948,2.919375419305074,0.020108123922612707,62533.687495649305,0.040216247845225414,1778.5975029885803,0.040216247845225414
2,3.526998309947426,122.52461776234817,13.616300010297985,-133.50145812063676,0.0007561931610107422,125.74150285271942,-1.068327199095639,0.9400000000000001,1.25,0.025,0.09,1.1,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.015,main,10.0,False,180.0,0.01,False,0.65,5.0,-1.0,-2.0,17.095566845100272,127.4864665380536,122.52462550079639,9.561631637480948,3.061418410552755,0.024055195660617618,43695.76605444584,0.048110391321235235,983.8841535346613,0.048110391321235235
3,3.652800412897038,131.78751127970256,13.616300010297985,-144.12313655685898,0.002149068832397461,133.59809118125696,-1.4610438981788538,0.9500000000000001,1.25,0.035,0.09,1.1,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.015,main,10.0,False,180.0,0.01,False,0.65,5.0,-1.0,-2.0,17.095566845100272,135.44764131194412,131.78751960317953,9.561631637480948,3.175032241553338,0.027155143772233315,34288.85097379489,0.05431028754446663,637.2968527083228,0.05431028754446663
