,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,layer,pos_x,pos_y,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz],Purcell T1 qiskit [us],target kappa qiskit [MHz]
0,3.3526918918607973,110.29077469773823,13.616300010297985,-119.57160231322898,0.00015623235702514647,128.33923638184527,-0.583365512851702,0.86,1.2,0.005,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,-0.5,1.0,13.676453476080171,126.3487733327418,110.29078166351755,11.952039546851227,3.2473986932256973,0.04045762657967444,18857.779817054823,0.08091525315934887,1307.826734958317,0.08091525315934887
1,3.6626035901452254,132.5247032495162,13.616300010297985,-144.97119834076705,0.0023241548538208007,149.84890095290152,-1.1928649959498256,0.87,1.2,0.015,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,-0.5,1.0,13.676453476080171,147.5381789789436,132.52471161955296,11.952039546851227,3.559708520889823,0.055155474326584374,10146.449920949819,0.11031094865316875,469.1497026244042,0.11031094865316875
2,3.839926860153724,146.2461636017948,13.616300010297985,-160.8289634920216,0.00894210433959961,163.4325683469242,-1.8039528933982143,0.88,1.2,0.025,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,-0.5,1.0,13.676453476080171,160.92060970724955,146.24617283845583,11.952039546851227,3.7394545498945315,0.0656082888857523,7170.904544532389,0.1312165777715046,260.7999236851362,0.1312165777715046
3,3.9646664297024294,156.34146787812685,13.616300010297985,-172.58321823375852,0.02144818925857544,174.07216306377248,-2.4345774421649837,0.89,1.2,0.035,0.09,0.9,0.06,0.05,0.005,0.07,0.07,0.15,0.04,0.0025,0.01,0.35000000000000003,0.09,0.04,0.015,main,10.0,False,0.0,0.01,False,5.0,-0.5,1.0,13.676453476080171,171.40822611726213,156.34147775239032,11.952039546851227,3.866367313031425,0.07442865171523079,5571.999390605803,0.14885730343046158,170.34430485484364,0.14885730343046158
