Pass [],re(Mode(1)) [g]
1,2.85376022361037
2,3.6564646154261
3,4.26889713582482
4,4.47272343421296
5,4.59924429098977
6,4.68546133250227
7,4.73021644669422
8,4.75848484015463
9,4.78030793813498
10,4.79655357914032
11,4.8084882663755
12,4.81690209383131
13,4.8240622644817
14,4.82942816928515
15,4.83351038350383
