,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,coupling_gd,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz],Purcell T1 qiskit [us],target kappa qiskit [MHz]
0,3.1984702258471183,146.95387488160176,9.557776095058605,-165.30301208491633,0.4943316035270691,118.73081365340944,-0.8836722873044643,0.9400000000000001,1.2,0.025,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,131.41345160936342,146.95388416296066,9.561631637480948,3.3527527890535267,0.021447589476884864,54966.76380241932,0.04289517895376973,1334.0970423586452,0.04289517895376973
1,3.186133320141336,145.76218624733343,9.557776095058605,-163.86734821920194,0.45161483716964723,125.39491017850276,-0.968468789708747,0.99,1.2,0.025,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.45,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,138.95872105786964,145.76219545342727,9.561631637480948,3.339130928365849,0.023922767402616042,44180.87467715312,0.047845534805232084,1091.340061524873,0.047845534805232084
2,3.171579562438194,144.36329826705392,9.557776095058605,-162.18386579793685,0.40557112598419187,131.6314491585812,-1.0453154298969418,1.04,1.2,0.025,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.5,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,146.04952120441516,144.36330738479643,9.561631637480948,3.323069384989554,0.02636154898262763,36384.406417679944,0.05272309796525526,917.5692662243243,0.05272309796525526
3,3.165943943796531,143.82362464702157,9.557776095058605,-161.53491922228886,0.38892517757415773,136.83388825956172,-1.1205596392555224,1.09,1.2,0.025,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.55,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,151.9833063203321,143.82363373067915,9.561631637480948,3.316852250549287,0.02848648973569219,31158.695880030675,0.05697297947138438,792.1058721637997,0.05697297947138438
4,3.1576080482174906,143.02742909532986,9.557776095058605,-160.57803908997366,0.3654462265968323,141.56059426587018,-1.1851905703490442,1.1400000000000001,1.2,0.025,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.6,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,157.40198862540495,143.02743812870105,9.561631637480948,3.307658600810231,0.030488520813534637,27200.972784245136,0.060977041627069274,699.7333978421792,0.060977041627069274
5,3.1502130422478714,142.32315748508503,9.557776095058605,-159.73216013372124,0.34570989179611206,146.07255515661086,-1.248765396738412,1.19,1.2,0.025,0.09,0.9,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.65,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,162.59031469171344,142.32316647397562,9.561631637480948,3.2995050432500124,0.03246301501866162,23992.717456678434,0.06492603003732324,623.7167919362307,0.06492603003732324
