Pass [],re(Mode(1)) [g]
1,2.72299957746269
2,3.54222608225552
3,3.7967556849494
4,3.90917127145118
5,3.96624643151976
6,3.99816214443988
7,4.01983442496215
8,4.03633429801601
9,4.0453710456726
10,4.05323148327604
11,4.05753550076679
12,4.06129191613134
