,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz],Purcell T1 qiskit [us],target kappa qiskit [MHz]
0,4.059150174810266,164.23406946773375,13.616300010297985,-181.82373017100508,0.04012909269332886,103.26596296017334,-0.6411626438517638,0.77,1.2,0.005,0.09,0.6,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.25,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,11.397044563400145,97.6495848714885,164.23407984048058,14.342447456221468,4.340984828937299,0.04304812010534825,19777.852164135376,0.0860962402106965,1327.8991899352827,0.0860962402106965
1,4.426168513174581,196.93501710933097,13.616300010297985,-220.57949368172464,0.3538463306427002,119.9203541563792,-1.387563579632605,0.78,1.2,0.015,0.09,0.6,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.25,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,11.397044563400145,113.3956204448038,196.9350295474145,14.342447456221468,4.753550516044372,0.05805312424986072,10875.176482702002,0.11610624849972144,454.9975084793063,0.11610624849972144
2,4.623181672083908,215.85261474517336,13.616300010297985,-243.3421848129137,0.9853363943099975,130.75534012654356,-2.1598590090607566,0.79,1.2,0.025,0.09,0.6,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.25,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,11.397044563400145,123.64654851263768,215.8526283780605,14.342447456221468,4.976629365986285,0.06901741066942173,7694.318934753075,0.13803482133884346,245.86881250748456,0.13803482133884346
3,4.762307151306449,229.79693467418593,13.616300010297985,-260.28046471778003,1.9283819513320923,139.22588843047427,-2.987791463378583,0.8,1.2,0.035,0.09,0.6,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.25,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,11.397044563400145,131.6621426468444,229.7969491877728,14.342447456221468,5.134861765871113,0.07824917873582313,5985.8789709263065,0.15649835747164625,156.76800714778258,0.15649835747164625
