,fQ,EC,EJ,alpha,dispersion,gbus,chi_in_MHz,cut_l,cut_h,gap,w,l,r,cpw_l,coupling_gap,JJ_cutout_w,JJ_cutout_h,JJ_cutout_r,JJ_c_contact_l,JJ_c_contact_r,JJ_c_contact_w,coupling_d,coupling_pad_w,coupling_r,cpw_pin,chip,resolution,junction,orientation,JJ_c_contact_shortl,istunnel,coupling_gd,Lj [nH],g_alex [MHz],Ec_alex [MHz],Ej_alex [GHz],wr_alex [GHz],Chi [MHz],Purcell T1 [us],target kappa [MHz],Purcell T1 qiskit [us],target kappa qiskit [MHz]
0,3.0601604933809528,91.3041687180419,13.616300010297985,-98.18097496588325,7.3399543762207035e-06,98.0341530770067,-0.33081148193758897,0.92,1.25,0.005,0.09,1.1,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,99.38508951889497,91.30417448465923,9.561631637480948,2.6427514198450046,0.014621987318679454,118261.76033790832,0.029243974637358908,5227.212640315308,0.029243974637358908
1,3.3617517232846565,110.90958527012899,13.616300010297985,-120.27347238623015,0.0001701197624206543,114.81936716195887,-0.6976087571338413,0.93,1.25,0.015,0.09,1.1,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,116.40379769732984,110.90959227499131,9.561631637480948,2.912698633771327,0.020057735411770868,62848.273088589514,0.040115470823541735,1807.0215142895543,0.040115470823541735
2,3.526843421256251,122.51343811246547,13.616300010297985,-133.4886771116376,0.0007551918029785156,125.5395863841799,-1.0646509307588197,0.9400000000000001,1.25,0.025,0.09,1.1,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,127.27971203781615,122.51344585020759,9.561631637480948,3.0612787391652585,0.023978001731244446,43977.56413353581,0.04795600346248889,990.459951205091,0.04795600346248889
3,3.649345267733898,131.52821834694026,13.616300010297985,-143.8249425902132,0.0020902256965637206,133.59846313990383,-1.4532634150607622,0.9500000000000001,1.25,0.035,0.09,1.1,0.06,0.05,0.015,0.07,0.07,0.15,0.04,0.0025,0.01,0.4,0.09,0.04,0.01,main,10.0,False,0.0,0.01,False,0.65,17.095566845100272,135.45192988205307,131.5282266540407,9.561631637480948,3.171907253621443,0.02715529498104932,34288.469113673236,0.05431058996209864,640.7052455741239,0.05431058996209864
