Pass [],re(Mode(1)) [g]
1,38.3306165719779
2,40.1504649270323
3,42.9442585141083
4,45.6816964391271
5,47.5089520564564
6,47.6893381674959
7,47.8820102892237
8,47.9675938091293
9,48.0427433387231
10,48.1044149185122
11,48.148223270611
