,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,299.15825,-111.88213,-71.75231,-25.08278
pad_left_Q1,-111.88213,207.81079,-62.02008,-30.12506
pad_right_Q1,-71.75231,-62.02008,138.05152,-2.24307
resonator_pad_Q1,-25.08278,-30.12506,-2.24307,58.1197
