,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,240.58603,-81.57728,-47.30714,-19.38012
pad_left_Q1,-81.57728,185.77734,-43.13926,-58.30065
pad_right_Q1,-47.30714,-43.13926,94.13725,-1.97085
resonator_pad_Q1,-19.38012,-58.30065,-1.97085,80.12492
