,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,290.20689,-106.82655,-68.55571,-23.16959
pad_left_Q1,-106.82655,220.06811,-62.30977,-47.26261
pad_right_Q1,-68.55571,-62.30977,135.45694,-2.42081
resonator_pad_Q1,-23.16959,-47.26261,-2.42081,73.48669
