,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,301.12052,-117.32962,-62.24389,-26.18783
pad_left_Q1,-117.32962,322.63244,-82.39936,-118.51608
pad_right_Q1,-62.24389,-82.39936,149.64322,-2.87746
resonator_pad_Q1,-26.18783,-118.51608,-2.87746,148.44916
