,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,290.59186,-110.21263,-62.89645,-23.88709
pad_left_Q1,-110.21263,295.39771,-82.20686,-98.99277
pad_right_Q1,-62.89645,-82.20686,149.95275,-2.75491
resonator_pad_Q1,-23.88709,-98.99277,-2.75491,126.37545
