"Pass []","re(Mode(1)) [g]"
1,2.2337932791501
2,3.35003495768318
3,3.70309575326269
4,3.82144014888784
5,3.89513846618455
6,3.93969939555936
7,3.97383002333217
8,4.00029436161593
9,4.019230154699
10,4.03379522763534
11,4.04434046416195
12,4.05156492943488
13,4.05577971235067
14,4.05913999736048
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
