,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,275.17311,-100.67458,-62.80041,-20.21541
pad_left_Q1,-100.67458,305.02146,-95.49571,-105.24167
pad_right_Q1,-62.80041,-95.49571,162.8237,-2.52038
resonator_pad_Q1,-20.21541,-105.24167,-2.52038,128.49925
