,ground_main_plane,pad_left_Q1,pad_right_Q1,resonator_pad_Q1
ground_main_plane,300.70034,-118.48814,-61.11723,-25.87882
pad_left_Q1,-118.48814,393.81296,-97.20776,-173.64135
pad_right_Q1,-61.11723,-97.20776,163.32934,-2.87413
resonator_pad_Q1,-25.87882,-173.64135,-2.87413,203.21931
